GEOID,pct_white,pct_black,pct_not_white,majority_not_white,median_ageE,median_incomeE,maj_anc_type,maj_anc_group
36047044900,0.32684584491813407,0.4457831325301205,0.6731541550818659,TRUE,32,17075,Italian,Europe
36047046000,0.4851457399103139,0.006726457399103139,0.514854260089686,TRUE,36.2,30441,American,United States
36047048500,0.6197398622800306,0.10596786534047437,0.3802601377199694,FALSE,28.7,37009,German,Europe
36047050801,0.23776908023483365,0.6448140900195695,0.7622309197651663,TRUE,33.4,27684,WestIndianexceptHispanicgroups,West Indies
36047050803,0.24674779689467058,0.5535039865715484,0.7532522031053294,TRUE,33.7,24701,WestIndianexceptHispanicgroups,West Indies
36047050804,0.23170731707317074,0.47000659195781147,0.7682926829268293,TRUE,35.6,26829,WestIndianexceptHispanicgroups,West Indies
36047051001,0.19817658349328215,0.7514395393474088,0.8018234165067178,TRUE,34,24583,WestIndianexceptHispanicgroups,West Indies
36047051002,0.15907118055555555,0.6095920138888888,0.8409288194444444,TRUE,33.2,26364,WestIndianexceptHispanicgroups,West Indies
36047051601,0.07921553547394732,0.7736973658911748,0.9207844645260527,TRUE,32.7,31609,WestIndianexceptHispanicgroups,West Indies
36047051602,0.0822327435833541,0.7301270869673561,0.9177672564166459,TRUE,34.5,25603,WestIndianexceptHispanicgroups,West Indies
36047056100,0.8241013553329405,0.06275780789628757,0.1758986446670595,FALSE,33.5,58167,Polish,Europe
36047061003,0.43973214285714285,0.03180803571428571,0.5602678571428571,TRUE,28.6,17790,American,United States
36047061004,0.9073928739601318,1.569612305760477e-4,0.09260712603986815,FALSE,48.9,24574,Ukrainian,Europe
36047062000,0.9719317556411667,0,0.02806824435883324,FALSE,45,51071,Russian,Europe
36047069601,0.40523758099352053,0.484341252699784,0.5947624190064795,TRUE,39.8,37656,WestIndianexceptHispanicgroups,West Indies
36047069602,0.6619649805447471,0.14364461738002593,0.33803501945525294,FALSE,41.3,36250,Italian,Europe
36047076800,0.8331762488218661,0.017593465284322967,0.16682375117813383,FALSE,32.5,27260,American,United States
36047079601,0.2281150159744409,0.7052183173588924,0.771884984025559,TRUE,35.7,35238,WestIndianexceptHispanicgroups,West Indies
36047079602,0.14021505376344087,0.6879569892473119,0.8597849462365591,TRUE,34.7,29364,WestIndianexceptHispanicgroups,West Indies
36047079801,0.3645833333333333,0.5104166666666666,0.6354166666666666,TRUE,36.9,37416,WestIndianexceptHispanicgroups,West Indies
36047079802,0.26500087981699805,0.5467182825972198,0.734999120183002,TRUE,32.3,37410,WestIndianexceptHispanicgroups,West Indies
36047080800,0.11011638316920322,0.6991942703670546,0.8898836168307968,TRUE,61.3,10214,WestIndianexceptHispanicgroups,West Indies
36047092400,0.02530674846625767,0.8255368098159509,0.9746932515337423,TRUE,30.7,21166,WestIndianexceptHispanicgroups,West Indies
